Week,jquery mobile,sencha touch,lungojs,kendo ui
2012-10-21 - 2012-10-27,85,21,0,12
2012-10-28 - 2012-11-03,82,21,1,10
2012-11-04 - 2012-11-10,88,20,1,13
2012-11-11 - 2012-11-17,87,19,1,13
2012-11-18 - 2012-11-24,84,19,0,12
2012-11-25 - 2012-12-01,85,20,0,11
2012-12-02 - 2012-12-08,89,20,0,13
2012-12-09 - 2012-12-15,85,19,0,13
2012-12-16 - 2012-12-22,84,23,0,13
2012-12-23 - 2012-12-29,62,18,0,9
2012-12-30 - 2013-01-05,64,15,0,10
2013-01-06 - 2013-01-12,85,17,0,13
2013-01-13 - 2013-01-19,84,21,0,13
2013-01-20 - 2013-01-26,87,22,0,13
2013-01-27 - 2013-02-02,90,19,0,13
2013-02-03 - 2013-02-09,92,17,0,13
2013-02-10 - 2013-02-16,90,20,0,14
2013-02-17 - 2013-02-23,97,21,0,14
2013-02-24 - 2013-03-02,95,20,1,17
2013-03-03 - 2013-03-09,91,22,0,17
2013-03-10 - 2013-03-16,96,21,0,14
2013-03-17 - 2013-03-23,93,22,0,16
2013-03-24 - 2013-03-30,95,18,0,13
2013-03-31 - 2013-04-06,88,19,0,15
2013-04-07 - 2013-04-13,99,21,1,15
2013-04-14 - 2013-04-20,96,20,0,16
2013-04-21 - 2013-04-27,94,19,0,15
2013-04-28 - 2013-05-04,90,18,0,16
2013-05-05 - 2013-05-11,95,20,0,15
2013-05-12 - 2013-05-18, , , , 
2013-05-19 - 2013-05-25, , , , 
2013-05-26 - 2013-06-01, , , , 
